id,bookname,author,publish,originame,translater,ptime,pages,price,zhuangzheng,books,isbn,starts,commentcnt,weburl,bookintro,authorintro
1,巨人的陨落,[英]肯·福莱特,江苏凤凰文艺出版社,"Fall of Giants",于大卫,2016-5-1,1168,129.80元,平装,世纪三部曲,9787539989891,8.9,38081,https://book.douban.com/subject/26698660/,"在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴情的德国特工… 从充满灰尘和危险的煤矿到闪闪发光的皇室宫殿，从代表着权力的走廊到爱恨纠缠的卧室，五个家族迥然不同又纠葛不断的命运逐渐揭晓，波澜壮阔地展现了一个我们自认为了解，但从未如此真切感受过的20世纪。",38081
2,追风筝的人,[美]卡勒德·胡赛尼,上海人民出版社,"The Kite Runner",李继宏,2006-5,362,29.00元,平装,卡勒德·胡赛尼作品,9787208061644,8.9,318051,https://book.douban.com/subject/1770782/,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？故事如此残忍而又美丽，作者以温暖细腻的笔法勾勒人性的本质与救赎，读来令人荡气回肠。,318051
3,我的职业是小说家,[日]村上春树,南海出版公司,職業としての小説家,施小炜,2017-1,247,45.00元,精装,新经典文库·村上春树作品,9787544285377,8.3,9821,https://book.douban.com/subject/26889236/,《我的职业是小说家》是村上春树首部自传性作品，历时六年完成。一个人，写作三十五年，十三部长篇小说，超过五十种语言译本。虽然拥有享誉世界的知名度，但关于村上春树，许多事情始终包裹在神秘的面纱中：他是怎样下定决心走上职业小说家之路？对他来说，人生中幸福的事是什么？究竟如何看待芥川奖与诺贝尔文学奖……小说家看似风光，却是份孤独的职业。三十五年来，村上春树在孤独中编织着美妙动人的故事。他以十二章肺腑之言，真挚诚恳又不失幽默地讲述自己写作道路上的故事，和追逐梦想与幸福的人生往事。不论是作为声名显赫的作家，还是认真生活的普通人，他的故事都为人们带来信心和勇气。《我的职业是小说家》就是村上春树热爱生活、追求梦想的真实写照。,9821
4,巨人的陨落,[英]肯·福莱特,江苏凤凰文艺出版社,"Fall of Giants",于大卫,2016-5-1,1168,129.80元,平装,世纪三部曲,9787539989891,8.9,38081,https://book.douban.com/subject/26698660/,"在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴情的德国特工… 从充满灰尘和危险的煤矿到闪闪发光的皇室宫殿，从代表着权力的走廊到爱恨纠缠的卧室，五个家族迥然不同又纠葛不断的命运逐渐揭晓，波澜壮阔地展现了一个我们自认为了解，但从未如此真切感受过的20世纪。","肯·福莱特 Ken Follett (1949 -)，现象级畅销小说大师。1978年出版了处女作《风暴岛》，并于次年获得爱伦坡奖，声名鹊起，专职写作。2010年，荣登全球作家富豪榜上第5名。2013年，获得爱伦坡终身大师奖。他的小说出版前，都会请历史学家审读书稿，绝不容许出现任何史实错误。有出版人曾指出，肯·福莱特 “没有一个饱受折磨的灵魂”，他愉快地承认了，“大家都在写内心的痛苦，可我总是觉得很开心”。他说：“很多作家只写能取悦他们自己的东西，并模模糊糊地希望这也能取悦别人。但我每写一页都在清醒地思考：读者会怎么想？读者觉得这真的会发生吗？读者关心这些吗？读者想要知道接下来会发生什么吗？我敬佩那些用文字和新奇结构进行文学实验的作家，但我从不这么玩。”作者官方网站：www.ken-follett.com"
5,佛祖都说了些什么?,林欣浩,北京时代华文书局,无,无,2014-7-1,352,42,平装,None,9787807696490,8.7,2019,https://book.douban.com/subject/25928708/,《佛祖都说了些什么》用轻松易懂的写法，介绍了汉传佛教的历史。六道轮回是否存在？罗汉和菩萨谁的级别更高？坏人到庙里捐钱能否获得福报？为什么有的佛经像绕口令？……所有和佛学相关的疑问，这里都有解答。所有对佛教模糊的概念，这里都会进行清晰地分辨。对佛学一窍不通的人，也能轻松地看懂。,林欣浩，自由撰稿人。喜欢读书，相信一切外表高深的知识都要遵守简单的逻辑，希望能用最浅白的话讲清楚最复杂的道理。作品涉及哲学、宗教、历史、心理学等多个领域。作品有《哲学家们都干了些什么》等。
6,四季便当,[日]吉井忍,广西师范大学出版社,无,无,2014-9-1,384,"CNY 69.00",平装,None,9787549555321,8.2,1926,https://book.douban.com/subject/25913413/,本书内容包括作者朴素温馨的关于美食的记忆、家常而可口的便当菜制作方法和步骤，以及关于制作便当的一些实用小贴士。作者秉持“使用当地当季食材”原则，让日常便当实惠、健康而美观。书中关于便当制作步骤的介绍清晰、简洁，并配有步骤图片，初学者也能轻松上手。本书分为春夏秋冬四个篇章，按照季节的轮转选择健康食材，让便当也充满元气和色彩。四个篇章共介绍了四十个和风便当，也给了读者充分的空间选择自己喜爱的菜式。本书文字质朴而温馨，在带给读者感动的同时，让我们反思自己的生活方式和与家人的细微关系，引起热爱生活者的共鸣。文中对于便当菜制作方式的介绍又非常实用，可以让忙碌的上班族也能享受健康而美好的便当时光。,"吉井忍，日籍华语作家，现旅居北京。毕业于日本国际基督教大学国际关系专业。曾在成都留学，法国南部务农， 辗转台北、马尼拉、上海等地任经济新闻编辑。现专职写作，致力于向华语读者介绍日本文化。任 《南方周末》评论版撰稿人、《城市画报》及《南方人物周刊》特约记者、日中友好协会驻华记者。作品亦见于《知日》、《鲤》、《东方早报》等报刊。"
7,扛得住，世界就是你的,小川叔,古吴轩出版社,无,无,2014-9,None,36.00元,平装,None,9787554602881,7.6,1320,https://book.douban.com/subject/25948154/,"当当预售中：http://product.dangdang.com/23537223.html小川叔首部随笔集，反鸡汤，不做作，教你如何在残酷的世界里骄傲地活着。36个人生故事，写给一想到未来，种种负面情绪就根本停不下来的人。有些路很远，走下去会很累。可是，不走， 会后悔；有些话，说了会打击你。可是，不说，我过意不去。所有的事情到最后都是好的， 之所以现在感觉不好，是因为没到最后。在结局到来之前，你是否耐得住性子，守得稳初心，等得到转角的光明？扛得住，世界就是你的！这么远那么近、鼹鼠的土豆、午歌倾情推荐！",或许注定是个配角却仍希望固守自己的一点位置明明有着天生离群索居的距离感却总是借助声音，假装平易近人我是小川叔爱好做饭，年纪35+非典型文艺中年，性格缺陷，不稳定型人格播音文字均属个人爱好不以此为业，靠此营生
8,重读,唐诺,广西师范大学出版社,无,无,2015-1,440,56.00,平装,理想国·唐诺作品,9787549558346,8.4,376,https://book.douban.com/subject/25961455/,比无限清单更好的阅读，那就是重读每一次我们重读一本书，这本书就与从前稍有不同，而我们自己也与从前稍有不同。——博尔赫斯一个优秀读者，一个成熟的读者，一个思路活泼、追求新意的读者，只能是一个“重读者”。——纳博科夫14个作家、14本书，还有两位自由主义大师——所谓的遇见，其实是一种保证的相遇本书收录的十六篇文章，一句一字，都是作者数年来定时定点、在台北某家咖啡馆里写下的。无有节制的所思所想，关于那些应该一读再读的了不起著作，关于当今正在失落的幸福题材、价值理念，更关乎我们自身。面对书籍与人生的无限清单，重读，毋宁是一次中途的驻足和折返，想清楚自己究竟要接近什么、看到什么，以及为什么出发。因此，所谓的遇见，其实是一种保证的相遇：现实世界里好东西来得快消散得也快，你得上下求索，自备而来。美丽的东西没理由死在我们这一代人，这是犯罪行为。——唐诺,唐诺本名谢材俊，一九五八年生于台湾宜兰，毕业于台湾大学历史系。曾与朱天文等共组著名文学团体“三三集刊”，后任职出版公司数年。近十余年专事写作，曾获多种文学奖项，朱天文誉之为“一个谦逊的博学者、聆听者和发想者”。2013年出版散文力作《尽头》，探索极限和人的现实处境，获评《亚洲周刊》年度十大好书与台湾金鼎奖。
9,给孩子的诗,北岛选,中信出版社,无,无,2014-7-1,176,30.00,精装,给孩子系列,9787508646664,8.2,2936,https://book.douban.com/subject/25913612/,北岛亲自甄别、挑选，将自己心目中的最适于孩子诵读、领悟的短诗公布于世，“为孩子留下一部作品”，实现诗人长久以来的宿愿。重绘新诗版图，确立经典标准，诗人、篇目、译文的择选，都体现编者一以贯之、别具手眼的诗学理念与美学目光。57位不同国别的诗人，101首不同风格的新诗，携带着思想、文学、文明的火种，交给孩子，照亮下一代的阅读空间。新诗“蒙学”的引路者，汇集新老名家的经典译作，是范文，也是美文，集聚最伟大的文学灵魂，最精要的不朽文本，涵养心性，助育美感。作为开放性的经典诗歌选本，因编者的眼光与热忱，品质的特出和优异，势必在汉语世界产生广泛、持久而巨大的影响。,北岛，原名赵振开，1949年8月2日生于北京，祖籍浙江湖州，中国当代诗人，为朦胧诗领军人物。曾多次获诺贝尔文学奖提名。目前任教于香港中文大学。先后获瑞典笔会文学奖、美国西部笔会中心自由写作奖、古根海姆奖学金等，并被选为美国艺术文学院终身荣誉院士。
10,乱世为王（上卷）,无,浙江人民美术出版社,无,无,2014-6-1,None,32.00元,平装,乱世为王,9787534038754,8.7,816,https://book.douban.com/subject/25904568/,一本荡气回肠的中原兴亡史，一曲跨越十年的乱世战歌！烽火天下，残破山河，王道就在每个人的心中。家国，大义，情之深处，所向披靡——游淼十六岁锦衣玉食，遭遇家境剧变，昔日的小少爷如今只有亡母留下的荒芜山庄与一名忠心耿耿的犬戎仆，白手起家的困境与窘迫，成为了他人生最大的考验……科举来临，游淼入京应考，孰料北方氏族入侵，衣冠南渡，汉人大举难逃，烽烟四起，国破家亡，流离失所……游淼与一众结义兄弟终于在颠沛流离之际回到江南，并竭尽全力，撑起了这残破的半壁江山。好景不长，苟延残喘的南朝面临着内忧外患。朝廷动荡，权臣倾轧，然而潮生潮落之后，将带来大漠最美的月光。,顾雪柔，文笔磅礴大气，行文充满张力，对剧情和人物性情的把握充满技巧，《乱世为王》为顾雪柔首篇面世作品，通过描写青少年勤劳节俭，热爱劳动，亲力亲为，发家致富的故事，为青少年们树立了坚韧不拔，团结友爱，天天向上的学习楷模。一炮而红，由此可见其难以埋没的才华。
